class_name,usable_images,train,validation,test
Aloevera,118,82,17,19
Amla,67,46,10,11
Amruthaballi,91,63,13,15
Arali,89,62,13,14
ashoka,81,56,12,13
Astma_weed,82,57,12,13
Badipala,74,51,11,12
Balloon_Vine,60,42,9,9
Bamboo,118,82,17,19
Beans,97,67,14,16
Betel,114,79,17,18
Bhrami,102,71,15,16
Bringaraja,73,51,10,12
camphor,66,46,9,11
Caricature,76,53,11,12
Castor,129,90,19,20
Catharanthus,134,93,20,21
Chakte,68,47,10,11
Chilly,69,48,10,11
Citron lime (herelikai),99,69,14,16
Coffee,83,58,12,13
Common rue(naagdalli),67,46,10,11
Coriender,115,80,17,18
Curry,168,117,25,26
Doddpathre,140,98,21,21
Drumstick,56,39,8,9
Ekka,81,56,12,13
Eucalyptus,80,56,12,12
Ganigale,75,52,11,12
Ganike,63,44,9,10
Gasagase,79,55,11,13
Ginger,82,57,12,13
Globe Amarnath,69,48,10,11
Guava,128,89,19,20
Henna,78,54,11,13
Hibiscus,118,82,17,19
Honge,96,67,14,15
Insulin,89,62,13,14
Jackfruit,110,77,16,17
kamakasturi,67,46,10,11
Kambajala,59,41,8,10
kepala,76,53,11,12
Kohlrabi,73,51,10,12
Lantana,76,53,11,12
Lemon,123,86,18,19
Malabar_Nut,51,35,7,9
Malabar_Spinach,79,55,11,13
Mango,103,72,15,16
Marigold,93,65,13,15
Mint,135,94,20,21
Neem,132,92,19,21
Nelavembu,90,62,13,15
Nerale,62,43,9,10
Nooni,72,50,10,12
Onion,92,64,13,15
Padri,73,51,10,12
Palak(Spinach),149,104,22,23
Papaya,135,94,20,21
Parijatha,66,46,9,11
Pomoegranate,75,52,11,12
Pumpkin,92,64,13,15
Rose,106,74,15,17
Sampige,61,42,9,10
Seethapala,114,79,17,18
Spinach1,67,46,10,11
Tamarind,176,123,26,27
Taro,69,48,10,11
Tecoma,66,46,9,11
Thumbe,74,51,11,12
Tomato,62,43,9,10
Tulsi,177,123,26,28
